,Country,EdLevel,YearsCodePro,ConvertedCompYearly
0,Sweden,No bachelors,4,51552
1,Spain,Bachelors,5,46482
2,Germany,No bachelors,6,77290
3,Turkey,Bachelors,2,17748
4,Canada,Bachelors,6,46135
5,France,No bachelors,2,38915
6,Germany,No bachelors,18,77831
7,Switzerland,No bachelors,5,81319
8,United Kingdom,Bachelors,21,68507
9,Russia,No bachelors,16,37752
10,Israel,Bachelors,2,122580
11,Turkey,Bachelors,2,11832
12,Other,No bachelors,10,24000
13,Germany,No bachelors,10,60535
14,United States of America,Bachelors,0.5,103000
15,France,No bachelors,3,25944
16,Brazil,Bachelors,15,60480
17,Other,No bachelors,1,20556
18,Other,Bachelors,6,25944
19,United Kingdom,No bachelors,12,64630
20,Italy,No bachelors,16,54049
21,Russia,No bachelors,3,22644
22,United States of America,Bachelors,5,130000
23,Canada,No bachelors,10,71850
24,Spain,No bachelors,10,58373
25,United Kingdom,Bachelors,18,129266
26,Netherlands,No bachelors,2,25944
27,United States of America,Bachelors,15,105000
28,Poland,Bachelors,8,45564
29,Canada,Post-grad,8,151263
30,Sweden,Bachelors,3,40500
31,Other,No bachelors,6,42336
32,Canada,No bachelors,17,95295
33,United States of America,Post-grad,1,100000
34,United Kingdom,Bachelors,14,61398
35,Netherlands,No bachelors,10,108098
36,Poland,Bachelors,4,27336
37,Switzerland,No bachelors,26,134176
38,United Kingdom,Bachelors,3,64630
39,Spain,No bachelors,8,38915
40,Italy,No bachelors,2,14268
41,Netherlands,Bachelors,2,43239
42,United States of America,Bachelors,6,140000
43,France,No bachelors,2,45401
44,Other,No bachelors,4,14124
45,Other,No bachelors,8,59676
46,Israel,No bachelors,5,101916
47,United States of America,Bachelors,1,54000
48,Netherlands,No bachelors,5,36324
49,United Kingdom,Bachelors,3,38778
50,Canada,No bachelors,5,63530
51,Other,Bachelors,2,14652
52,United States of America,Bachelors,34,200000
53,Germany,No bachelors,11,97288
54,Russia,No bachelors,5,75492
55,France,No bachelors,5,49725
56,United Kingdom,Bachelors,25,70047
57,United States of America,Bachelors,4,98500
58,United States of America,Bachelors,24,115000
59,Switzerland,No bachelors,6,43908
60,Other,Bachelors,7,103408
61,Other,No bachelors,8,42000
62,Israel,Bachelors,4,105072
63,United Kingdom,Post-grad,22,71093
64,Other,No bachelors,8,59676
65,Other,Bachelors,4,17412
66,Canada,No bachelors,3,98321
67,Italy,No bachelors,14,54049
68,Russia,Bachelors,6,56616
69,Other,Bachelors,11,69183
70,Other,Bachelors,18,25944
71,United Kingdom,No bachelors,25,60752
72,Poland,Bachelors,3,16704
73,Other,Bachelors,15,81420
74,Other,Bachelors,3,14280
75,United Kingdom,No bachelors,13,84019
76,Other,Bachelors,18,63648
77,United States of America,No bachelors,9,70000
78,Other,No bachelors,7,91883
79,Russia,No bachelors,2,30192
80,United States of America,No bachelors,5,90000
81,Other,Bachelors,20,21600
82,Netherlands,Bachelors,6,50592
83,United States of America,No bachelors,2,193000
84,Other,Bachelors,4,28536
85,Australia,No bachelors,2,96874
86,United Kingdom,Bachelors,14,77556
87,Switzerland,No bachelors,22,121979
88,Russia,Post-grad,9,75492
89,Russia,Bachelors,26,43404
90,Other,No bachelors,9,75669
91,Other,Bachelors,2,22584
92,United Kingdom,Bachelors,7,103408
93,France,No bachelors,5,44320
94,United States of America,Bachelors,22,165000
95,Germany,No bachelors,5,51888
96,Other,Bachelors,7,85500
97,France,No bachelors,9,64859
98,Germany,No bachelors,3,42158
99,Germany,Bachelors,7,32424
100,United States of America,Bachelors,2,60000
101,France,Post-grad,12,35028
102,Germany,Post-grad,8,74588
103,Other,Bachelors,4,33732
104,Other,No bachelors,8,27852
105,United Kingdom,Bachelors,3,50153
106,India,No bachelors,11,30716
107,France,No bachelors,7,77831
108,Other,Bachelors,3,81624
109,Germany,No bachelors,2,54049
110,Other,Bachelors,2,10450
111,France,No bachelors,7,41077
112,Other,Bachelors,3,45396
113,United Kingdom,No bachelors,2,19389
114,France,No bachelors,15,77831
115,United States of America,Bachelors,13,160000
116,Israel,Bachelors,8,200409
117,United States of America,Bachelors,9,107972
118,Other,Bachelors,7,66897
119,Other,No bachelors,0.5,75000
120,United Kingdom,No bachelors,6,48472
121,United States of America,Bachelors,16,120000
122,Spain,No bachelors,5,32429
123,Spain,No bachelors,10,12972
124,Spain,Bachelors,4,28105
125,Other,No bachelors,20,77832
126,United Kingdom,Post-grad,4,51704
127,Other,Bachelors,23,18000
128,Germany,Bachelors,15,70264
129,United States of America,No bachelors,13,115000
130,United States of America,Bachelors,12,144000
131,Other,No bachelors,4,65508
132,Germany,No bachelors,21,70264
