Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Sweden,No bachelors,7,4,Data Scientist or ML Engr.,19.0,25.0,51552.0
Sweden,Bachelors,10,3,Front-end Developer,4999.0,35.0,40500.0
Sweden,No bachelors,10,7,Front-end Developer,99.0,25.0,5216.0
Sweden,Post-grad,15,3,Other,499.0,25.0,55224.0
Sweden,Bachelors,12,5,Front-end Developer,4999.0,25.0,54769.0
Sweden,No bachelors,29,24,Other,4999.0,45.0,68724.0
Sweden,Bachelors,6,3,Full-stack Developer,99.0,25.0,40500.0
Sweden,No bachelors,15,6,Front-end Developer,99.0,25.0,53388.0
Sweden,No bachelors,34,20,Front-end Developer,9999.0,45.0,55224.0
Sweden,No bachelors,20,16,Front-end Developer,99.0,35.0,63204.0
Sweden,No bachelors,18,18,Full-stack Developer,99.0,35.0,58296.0
Sweden,No bachelors,25,7,Front-end Developer,19.0,25.0,55224.0
Sweden,Bachelors,8,5,Front-end Developer,4999.0,25.0,64440.0
Sweden,No bachelors,20,15,Front-end Developer,19.0,35.0,73644.0
Sweden,Bachelors,15,5,Front-end Developer,99.0,25.0,55224.0
Sweden,No bachelors,15,2,Software QA,19.0,25.0,46020.0
Sweden,No bachelors,18,2,Full-stack Developer,19.0,35.0,44184.0
Sweden,No bachelors,17,13,Full-stack Developer,99.0,35.0,55848.0
Sweden,No bachelors,12,12,Full-stack Developer,499.0,45.0,67500.0
Sweden,Bachelors,11,3,Front-end Developer,9999.0,25.0,79776.0
Sweden,Bachelors,8,1,Front-end Developer,99.0,18.0,39024.0
Sweden,Post-grad,35,15,Data Scientist or ML Engr.,499.0,45.0,122731.0
Sweden,No bachelors,10,1,Full-stack Developer,499.0,25.0,44184.0
Sweden,Bachelors,15,7,Full-stack Developer,19.0,25.0,46024.0
Sweden,No bachelors,16,13,Full-stack Developer,4999.0,25.0,47256.0
Sweden,No bachelors,18,7,Front-end Developer,499.0,25.0,67500.0
Sweden,Post-grad,12,2,Academic Researcher,4999.0,25.0,46020.0
Sweden,No bachelors,14,4,Front-end Developer,19.0,25.0,44796.0
Sweden,Bachelors,36,22,Front-end Developer,99.0,45.0,92052.0
Sweden,Bachelors,14,3,Front-end Developer,4999.0,25.0,51552.0
Sweden,Bachelors,9,3,Front-end Developer,4999.0,25.0,67500.0
Sweden,No bachelors,14,5,Front-end Developer,99.0,25.0,53184.0
Sweden,No bachelors,23,4,Front-end Developer,4999.0,35.0,72408.0
Sweden,No bachelors,18,15,Other,499.0,35.0,67500.0
Sweden,Bachelors,12,3,Front-end Developer,9999.0,25.0,51552.0
Sweden,No bachelors,12,5,Front-end Developer,9999.0,18.0,61368.0
Sweden,No bachelors,17,11,Front-end Developer,99.0,35.0,54000.0
Sweden,No bachelors,5,3,Front-end Developer,99.0,18.0,43200.0
Sweden,No bachelors,20,3,Front-end Developer,99.0,25.0,50316.0
Sweden,Bachelors,10,6,Front-end Developer,4999.0,25.0,61366.0
Sweden,Bachelors,20,12,Front-end Developer,9999.0,25.0,79776.0
Sweden,No bachelors,14,6,Other,4999.0,25.0,93071.0
Sweden,No bachelors,5,3,Front-end Developer,499.0,25.0,49092.0
Sweden,No bachelors,22,10,Front-end Developer,19.0,35.0,52776.0
Sweden,No bachelors,5,3,Front-end Developer,499.0,18.0,47868.0
Sweden,No bachelors,16,8,Front-end Developer,19.0,25.0,71184.0
Sweden,No bachelors,30,21,Full-stack Developer,9999.0,45.0,92052.0
Sweden,Bachelors,13,10,Front-end Developer,99.0,25.0,87144.0
Sweden,Bachelors,12,6,Front-end Developer,4999.0,25.0,52776.0
Sweden,No bachelors,17,12,Front-end Developer,99.0,25.0,87144.0
Sweden,Post-grad,35,20,Full-stack Developer,499.0,45.0,68112.0
Sweden,No bachelors,7,4,Front-end Developer,499.0,25.0,44796.0
Sweden,No bachelors,11,11,Front-end Developer,499.0,25.0,47868.0
Sweden,No bachelors,40,25,Front-end Developer,9999.0,35.0,6756.0
Sweden,No bachelors,17,6,Other,99.0,25.0,66276.0
Sweden,No bachelors,15,3,Full-stack Developer,19.0,25.0,42960.0
Sweden,No bachelors,8,0,Full-stack Developer,9999.0,35.0,57684.0
Sweden,Bachelors,30,20,Front-end Developer,99.0,45.0,61366.0
Sweden,Post-grad,21,16,Front-end Developer,499.0,35.0,72408.0
Sweden,No bachelors,9,8,Front-end Developer,99.0,35.0,45408.0
Sweden,Bachelors,7,2,Front-end Developer,499.0,18.0,40500.0
Sweden,Bachelors,13,6,Front-end Developer,499.0,25.0,61368.0
Sweden,No bachelors,14,6,Front-end Developer,499.0,25.0,48479.0
Sweden,Bachelors,22,19,Front-end Developer,499.0,35.0,63816.0
Sweden,No bachelors,35,21,Front-end Developer,499.0,35.0,73644.0
Sweden,Bachelors,25,20,Front-end Developer,4999.0,35.0,67500.0
Sweden,No bachelors,5,1,Front-end Developer,99.0,18.0,31908.0
Sweden,No bachelors,13,6,Front-end Developer,99.0,25.0,42960.0
Sweden,Bachelors,35,22,Front-end Developer,499.0,45.0,79776.0
Sweden,No bachelors,10,3,Academic Researcher,4999.0,25.0,36816.0
Sweden,No bachelors,32,15,Front-end Developer,99.0,35.0,65052.0
Sweden,No bachelors,18,16,Front-end Developer,99.0,35.0,63816.0
Sweden,Bachelors,9,4,Front-end Developer,4999.0,25.0,54612.0
Sweden,No bachelors,11,8,Front-end Developer,19.0,25.0,53388.0
Sweden,Bachelors,11,6,Front-end Developer,499.0,25.0,41724.0
Sweden,No bachelors,18,5,Front-end Developer,19.0,25.0,79776.0
Sweden,No bachelors,20,12,Front-end Developer,9999.0,35.0,41112.0
Sweden,Bachelors,10,3,Front-end Developer,499.0,25.0,50316.0
Sweden,Bachelors,11,4,Other,4999.0,25.0,45408.0
Sweden,No bachelors,13,7,Front-end Developer,19.0,25.0,61368.0
Sweden,No bachelors,17,10,Front-end Developer,499.0,25.0,49212.0
Sweden,No bachelors,15,5,Front-end Developer,99.0,25.0,69960.0
Sweden,No bachelors,9,0,Front-end Developer,99.0,25.0,41724.0
Sweden,No bachelors,20,8,Front-end Developer,9999.0,25.0,125184.0
Sweden,No bachelors,12,10,Full-stack Developer,99.0,35.0,81624.0
Sweden,Bachelors,22,11,Front-end Developer,499.0,25.0,65052.0
Sweden,No bachelors,17,10,Front-end Developer,19.0,25.0,67500.0
Sweden,Bachelors,7,0,Full-stack Developer,499.0,25.0,49092.0
Sweden,No bachelors,19,16,Full-stack Developer,99.0,35.0,58848.0
Sweden,Bachelors,14,11,Front-end Developer,99.0,25.0,61248.0
Sweden,No bachelors,17,7,Full-stack Developer,99.0,25.0,122736.0
Sweden,No bachelors,18,8,Front-end Developer,99.0,25.0,49092.0
Sweden,Bachelors,31,20,Front-end Developer,499.0,35.0,73644.0
Sweden,No bachelors,22,18,Front-end Developer,99.0,35.0,67502.0
Sweden,No bachelors,30,20,Front-end Developer,499.0,45.0,73644.0
Sweden,No bachelors,40,25,Front-end Developer,499.0,55.0,63816.0
Sweden,No bachelors,5,2,Front-end Developer,4999.0,18.0,42960.0
Sweden,Bachelors,30,23,Front-end Developer,499.0,45.0,61368.0
Sweden,Bachelors,11,8,Full-stack Developer,499.0,25.0,52776.0
Sweden,No bachelors,18,10,Front-end Developer,99.0,35.0,73644.0
Sweden,No bachelors,26,15,Front-end Developer,499.0,35.0,60144.0
Sweden,No bachelors,23,13,Front-end Developer,99.0,35.0,67500.0
Sweden,No bachelors,4,2,Front-end Developer,499.0,25.0,49092.0
Sweden,Bachelors,9,6,Full-stack Developer,499.0,25.0,60756.0
Sweden,Bachelors,21,12,Front-end Developer,99.0,35.0,77423.0
Sweden,Bachelors,20,11,Other,499.0,35.0,67500.0
Sweden,No bachelors,10,8,Front-end Developer,4999.0,25.0,56208.0
Sweden,Bachelors,8,1,Full-stack Developer,9999.0,18.0,39276.0
Sweden,No bachelors,17,12,Front-end Developer,9999.0,35.0,62592.0
Sweden,No bachelors,25,14,Front-end Developer,499.0,35.0,63084.0
Sweden,Bachelors,10,3,Full-stack Developer,499.0,18.0,42960.0
Sweden,No bachelors,8,6,Front-end Developer,499.0,35.0,50316.0
Sweden,No bachelors,20,15,Front-end Developer,19.0,25.0,51552.0
Sweden,No bachelors,18,11,Front-end Developer,99.0,25.0,52776.0
Sweden,No bachelors,24,21,Front-end Developer,19.0,35.0,79776.0
Sweden,Bachelors,7,0,Front-end Developer,4999.0,18.0,33756.0
Sweden,Bachelors,8,3,Front-end Developer,499.0,25.0,49092.0
Sweden,No bachelors,30,22,Full-stack Developer,4999.0,45.0,63816.0
Sweden,No bachelors,10,1,Front-end Developer,99.0,18.0,34368.0
