,Country
United States of America,11214
India,6126
Other,3925
Germany,3565
United Kingdom of Great Britain and Northern Ireland,3191
Canada,1949
France,1755
Brazil,1595
Australia,1076
Spain,1074
Netherlands,1070
Italy,1033
Russian Federation,1003
Poland,964
Sweden,872
China,650
Israel,622
Turkey,619
Switzerland,568
Ukraine,537
"Iran, Islamic Republic of...",492
Norway,470
Pakistan,470
Mexico,465
Belgium,444
Austria,440
Denmark,413
Czech Republic,406
Finland,398
South Africa,393
Romania,392
Argentina,363
Portugal,353
New Zealand,352
Greece,351
Bangladesh,333
Japan,328
Indonesia,316
Bulgaria,294
Hungary,293
Ireland,284
Colombia,279
Egypt,225
Sri Lanka,223
Viet Nam,218
Philippines,217
Taiwan,209
Singapore,208
Serbia,200
Malaysia,190
Nigeria,157
