Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Sweden,No bachelors,7,4,Data Scientist or ML Engr.,19.0,25.0,51552.0
Spain,Bachelors,12,5,Front-end Developer,19.0,25.0,46482.0
Germany,No bachelors,15,6,Front-end Developer,4999.0,25.0,77290.0
Turkey,Bachelors,6,2,Full-stack Developer,499.0,25.0,17748.0
Canada,Bachelors,9,6,Front-end Developer,499.0,25.0,46135.0
France,No bachelors,9,2,Data Scientist or ML Engr.,19.0,25.0,38915.0
Germany,No bachelors,26,18,Front-end Developer,4999.0,35.0,77831.0
Switzerland,No bachelors,14,5,Academic Researcher,9999.0,25.0,81319.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,39,21,Front-end Developer,9999.0,45.0,68507.0
Russian Federation,No bachelors,20,16,Front-end Developer,499.0,35.0,37752.0
Israel,Bachelors,4,2,Front-end Developer,9999.0,25.0,122580.0
Turkey,Bachelors,6,2,Other,499.0,18.0,11832.0
Ukraine,No bachelors,17,10,Full-stack Developer,499.0,25.0,24000.0
Germany,No bachelors,19,10,Front-end Developer,499.0,25.0,60535.0
United States of America,Bachelors,8,0,Other,99.0,18.0,103000.0
United States of America,No bachelors,20,15,Front-end Developer,4999.0,35.0,300000.0
France,No bachelors,6,3,Academic Researcher,99.0,25.0,25944.0
Brazil,Bachelors,22,15,Front-end Developer,499.0,35.0,60480.0
Other,No bachelors,7,1,Other,4999.0,18.0,20556.0
Other,Bachelors,12,6,Full-stack Developer,99.0,25.0,25944.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,34,12,Full-stack Developer,4999.0,35.0,64630.0
Italy,No bachelors,21,16,Front-end Developer,499.0,35.0,54049.0
Russian Federation,No bachelors,5,3,Data Scientist or ML Engr.,99.0,25.0,22644.0
United States of America,Bachelors,13,5,Front-end Developer,499.0,25.0,130000.0
Canada,No bachelors,25,10,Front-end Developer,499.0,35.0,71850.0
Spain,No bachelors,20,10,Front-end Developer,499.0,35.0,58373.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,24,18,Full-stack Developer,9999.0,35.0,129266.0
Netherlands,No bachelors,10,2,Academic Researcher,4999.0,25.0,25944.0
United States of America,Bachelors,25,15,Front-end Developer,499.0,45.0,105000.0
Poland,Bachelors,12,8,Front-end Developer,9999.0,25.0,45564.0
Canada,Post-grad,10,8,Data Scientist or ML Engr.,499.0,35.0,151263.0
Sweden,Bachelors,10,3,Front-end Developer,4999.0,35.0,40500.0
Other,No bachelors,25,6,Front-end Developer,1.0,25.0,42336.0
Canada,No bachelors,31,17,Front-end Developer,99.0,35.0,95295.0
United States of America,Post-grad,18,1,Data Scientist or ML Engr.,99.0,25.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,26,14,Full-stack Developer,19.0,35.0,61398.0
Netherlands,No bachelors,20,10,Other,499.0,25.0,108098.0
Germany,Bachelors,10,0,Full-stack Developer,499.0,18.0,518868.0
Poland,Bachelors,10,4,Front-end Developer,499.0,18.0,27336.0
Sweden,No bachelors,10,7,Front-end Developer,99.0,25.0,5216.0
Other,Bachelors,4,1,Front-end Developer,99.0,18.0,7788.0
Switzerland,No bachelors,38,26,Front-end Developer,4999.0,55.0,134176.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,10,3,Full-stack Developer,4999.0,18.0,64630.0
Spain,No bachelors,10,8,Front-end Developer,499.0,25.0,38915.0
Other,Bachelors,8,3,Front-end Developer,19.0,18.0,4944.0
Italy,No bachelors,13,2,Front-end Developer,499.0,25.0,14268.0
Netherlands,Bachelors,10,2,Front-end Developer,499.0,25.0,43239.0
Other,No bachelors,3,0,Front-end Developer,499.0,18.0,48.0
United States of America,Bachelors,12,6,Full-stack Developer,499.0,25.0,140000.0
France,No bachelors,5,2,Front-end Developer,4999.0,25.0,45401.0
Other,No bachelors,6,4,Front-end Developer,99.0,18.0,14124.0
Other,No bachelors,12,8,Software QA,499.0,25.0,59676.0
Israel,No bachelors,6,5,SRE or Devops,499.0,35.0,101916.0
United States of America,Bachelors,7,1,Full-stack Developer,4999.0,18.0,54000.0
Netherlands,No bachelors,17,5,Full-stack Developer,99.0,25.0,36324.0
Germany,No bachelors,6,3,Front-end Developer,99.0,25.0,596700.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,1,3,SRE or Devops,19.0,25.0,38778.0
Other,Bachelors,4,2,Other,99.0,18.0,14652.0
United States of America,Bachelors,38,34,Front-end Developer,99.0,45.0,200000.0
Germany,No bachelors,27,11,Front-end Developer,499.0,25.0,97288.0
Russian Federation,No bachelors,15,5,Other,499.0,25.0,75492.0
France,No bachelors,7,5,Front-end Developer,499.0,18.0,49725.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,31,25,Full-stack Developer,499.0,45.0,70047.0
United States of America,Bachelors,15,4,Full-stack Developer,4999.0,18.0,98500.0
United States of America,Bachelors,41,24,Academic Researcher,499.0,45.0,115000.0
Switzerland,No bachelors,9,6,Data Scientist or ML Engr.,4999.0,25.0,43908.0
Other,Bachelors,8,7,Full-stack Developer,99.0,25.0,103408.0
Ukraine,No bachelors,13,8,Front-end Developer,19.0,25.0,42000.0
Israel,Bachelors,7,4,Other,499.0,25.0,105072.0
United Kingdom of Great Britain and Northern Ireland,Post-grad,42,22,Data Scientist or ML Engr.,499.0,45.0,71093.0
Other,No bachelors,8,8,Front-end Developer,99.0,25.0,59676.0
Other,Bachelors,8,4,Front-end Developer,499.0,35.0,17412.0
Canada,No bachelors,3,3,Data Scientist or ML Engr.,4999.0,35.0,98321.0
Italy,No bachelors,16,14,Front-end Developer,499.0,35.0,54049.0
Russian Federation,Bachelors,10,6,Front-end Developer,99.0,25.0,56616.0
Other,Bachelors,14,11,Other,499.0,25.0,69183.0
Other,Bachelors,24,18,Full-stack Developer,99.0,35.0,25944.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,35,25,Academic Researcher,9999.0,55.0,60752.0
Poland,Bachelors,6,3,Front-end Developer,499.0,35.0,16704.0
Other,Bachelors,23,15,Front-end Developer,499.0,35.0,81420.0
Other,Bachelors,7,3,Front-end Developer,99.0,18.0,14280.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,20,13,Front-end Developer,99.0,35.0,84019.0
Other,Bachelors,20,18,Front-end Developer,99.0,35.0,63648.0
Other,Bachelors,5,1,Front-end Developer,99.0,18.0,4620.0
United States of America,No bachelors,10,9,Front-end Developer,499.0,25.0,70000.0
Other,No bachelors,12,7,Front-end Developer,4999.0,25.0,91883.0
Russian Federation,No bachelors,3,2,Front-end Developer,499.0,25.0,30192.0
United States of America,No bachelors,10,5,Front-end Developer,499.0,25.0,90000.0
Other,Bachelors,20,20,Front-end Developer,499.0,35.0,21600.0
Netherlands,Bachelors,15,6,Front-end Developer,99.0,25.0,50592.0
India,Bachelors,10,1,Front-end Developer,19.0,18.0,1512.0
United States of America,No bachelors,9,2,Engineering Manager,4999.0,25.0,193000.0
United States of America,Bachelors,10,6,Full-stack Developer,499.0,25.0,2650000.0
Other,Bachelors,9,4,Full-stack Developer,499.0,25.0,28536.0
Australia,No bachelors,4,2,Data Scientist or ML Engr.,499.0,35.0,96874.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,24,14,Front-end Developer,499.0,35.0,77556.0
Switzerland,No bachelors,28,22,Other,4999.0,35.0,121979.0
Russian Federation,Post-grad,15,9,Front-end Developer,499.0,25.0,75492.0
Russian Federation,Bachelors,31,26,Full-stack Developer,19.0,35.0,43404.0
Other,No bachelors,12,9,Data Scientist or ML Engr.,4999.0,35.0,75669.0
Other,Bachelors,6,2,Front-end Developer,499.0,18.0,22584.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,14,7,Other,499.0,25.0,103408.0
France,No bachelors,15,5,Front-end Developer,19.0,25.0,44320.0
United States of America,Bachelors,30,22,Full-stack Developer,499.0,35.0,165000.0
Other,No bachelors,13,3,Full-stack Developer,4999.0,25.0,5268.0
Germany,No bachelors,10,5,Full-stack Developer,99.0,18.0,51888.0
Other,Bachelors,12,7,Front-end Developer,499.0,25.0,85500.0
France,No bachelors,12,9,Other,19.0,25.0,64859.0
Germany,No bachelors,6,3,Front-end Developer,4999.0,18.0,42158.0
Germany,Bachelors,18,7,Other,499.0,25.0,32424.0
United States of America,Bachelors,2,2,Other,4999.0,18.0,60000.0
France,Post-grad,16,12,Academic Researcher,499.0,35.0,35028.0
Other,No bachelors,9,3,Front-end Developer,4999.0,25.0,9084.0
Germany,Post-grad,13,8,Front-end Developer,4999.0,35.0,74588.0
Other,Bachelors,6,4,Front-end Developer,4999.0,25.0,33732.0
Other,No bachelors,13,8,Front-end Developer,9999.0,25.0,27852.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,12,3,Front-end Developer,499.0,18.0,50153.0
India,No bachelors,15,11,Engineering Manager,499.0,25.0,30716.0
France,No bachelors,10,7,Front-end Developer,499.0,25.0,77831.0
Other,Bachelors,7,3,Front-end Developer,499.0,25.0,81624.0
Germany,No bachelors,6,2,Academic Researcher,19.0,18.0,54049.0
Other,Bachelors,10,2,Front-end Developer,19.0,18.0,10450.0
